displayName,links,uid,url,publicatiedatum,availabletranslations,naam,bezoekadres,postadres,openingstijden,telefoonnummer,faxnummer,twitterurl,facebookurl,extrainformatie,afbeelding,locaties
,,cd7636a7-b30e-4131-b465-d52a6c635756,https://www.politie.nl/mijn-buurt/politiebureaus/02/diepenheim-hof-van-twente.html,2019-08-26 10:34:56,,Diepenheim (Hof van Twente),"{'postadres': '', 'postcode': '', 'plaats': ''}","{'postadres': 'Postbus 618', 'postcode': '7300 AP', 'plaats': 'Apeldoorn'}","

<p>In Diepenheim wordt geen spreekuur meer gehouden.</p>

<p>U kunt contact opnemen met het <a href=""https://www.politie.nl/mijn-buurt/politiebureaus/02/goor-hof-van-twente.html"">politiebureau in
Goor (Hof van Twente)</a></p>


",0900 - 8844,,,https://www.facebook.com/politiehofvantwente,,"{'url': '', 'alttext': ''}","[{'latitude': 52.197753, 'longitude': 6.556909000000019}]"
,,29584e72-48f8-4853-92cc-80547035f5a4,https://www.politie.nl/mijn-buurt/politiebureaus/05/leer--en-ontwikkelplein-centrum-noord.html,2022-04-01 13:33:22,,Leer- en Ontwikkelplein District Centrum-Noord,"{'postadres': '', 'postcode': '', 'plaats': ''}","{'postadres': 'postbus 2287', 'postcode': '1000 CG', 'plaats': 'Amsterdam'}","<p>Leer- en Ontwikkelplein:</p>

<p>LOP staat voor Leer- &amp; Ontwikkelplein. Hier werken praktijkbegeleiders, trajectbegeleiders en docenten samen om de student uiteindelijk “goed politiewerk” aan te leren. De praktijkbegeleider is verantwoordelijk voor het werkend leren, de docent voor het doceren van het politieonderwijs, en de trajectbegeleider voor het gehele traject, van aanstelling tot diploma uitreiking en de personeelszorg.</p>

<p>Een LOP is een bureau waar studenten die de basis politieopleiding volgen in leerteams bijeenkomen. Vanuit het LOP rijden zij de incidentafhandeling, surveilleren ze, bereiden de studenten verkeerscontroles voor en studeren ze.</p>

<p>Wij ontvangen niet alleen politiestudenten maar ook studenten die de HTVP-Opleiding volgen (Handhaving Toezicht Veiligheid Politie) van het ROC.</p>

<p>Dit alles doen wij vanuit het oudste politiebureau van Nederland in het dynamische district Centrum Noord van de Eenheid Amsterdam.</p>

<p>&nbsp;</p>

<p>Het&nbsp;Leer- en Ontwikkelplein zoals in deze pagina omschreven valt onder&nbsp;het beheer van de <a href=""https://www.politie.nl/mijn-buurt/politiebureaus/05/politie-amsterdam.html"">Politie Eenheid Amsterdam</a>.</p>

<p>&nbsp;</p>

<p>Werkgebieden:</p>

<p>Amsterdam,&nbsp;&nbsp;<a href=""https://www.politie.nl/mijn-buurt/politiebureaus/05/burgwallen.html"">Basisteam Centrum Burgwallen</a>,&nbsp;&nbsp;<a href=""https://www.politie.nl/mijn-buurt/politiebureaus/05/centrumamstel.html"">Basisteam Centrum Amstel</a>,&nbsp;<a href=""https://www.politie.nl/mijn-buurt/politiebureaus/05/centrumjordaan.html"">Basisteam Centrum Jordaan</a>&nbsp;en&nbsp;<a href=""https://www.politie.nl/mijn-buurt/politiebureaus/05/bovenij.html"">Basisteam Boven IJ</a></p>

<p>Indien u een melding of vraag heeft over een specifieke straat of buurt&nbsp;binnen ons werkgebied, dan kunt u contact opnemen met één van de&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten"">reguliere wijkagenten</a>&nbsp;of met een van de&nbsp;&nbsp;<a href=""https://www.politie.nl/mijn-buurt/politiebureaus"">Basisteams</a>.<br />
De collega's helpen u daar&nbsp;graag verder.</p>

<p>Heeft u een vraag met betrekking tot jeugd, dan kunt u terecht bij de&nbsp;&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/jeugdagenten/jeugdagenten-centrum-jordaan.html"">Jeugdagenten Jordaan</a>,&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/jeugdagenten/jeugdagenten-centrum-amstel.html"">Jeugdagenten Amstel</a>&nbsp;of&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/jeugdagenten/jeugdagenten-basisteam-boven-ij.html"">Jeugdagenten Boven IJ</a>.</p>

<p>Heeft u een vraag met betrekking tot netwerken, dan kunt u terecht bij de&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/netwerkagent/netwerkspecialist-ceno.html"">Netwerkspecialist Centrum-Noord</a>.</p>

<p>&nbsp;</p>",0900-8844,,,,,"{'url': 'https://www.politie.nl/binaries/standaard/content/gallery/politie/mijn-buurt/bureaus/05-amsterdam/omslagfoto.jpg', 'alttext': 'Leer- en Ontwikkelplein District Centrum-Noord'}","[{'latitude': 52.37901865, 'longitude': 4.89931319}]"
,,1c6749db-409a-41c0-a8ec-4d77fbf0485d,https://www.politie.nl/mijn-buurt/politiebureaus/05/fo-verkeer.html,2023-01-13 11:24:31,,Team FO verkeer (Forensische Opsporing Verkeer),"{'postadres': '', 'postcode': '', 'plaats': ''}","{'postadres': 'postbus 2287', 'postcode': '1000 CG', 'plaats': 'Amsterdam'}",,0900-8844,,,https://www.facebook.com/FOAmsterdam,"<p>FO-Verkeer is een gespecialiseerde afdeling binnen het team&nbsp;Forensische Opsporing.</p>

<p>Bij ernstige verkeersongevallen onderzoekt de afdeling FO-verkeer van de politie de toedracht van het ongeval. Hierbij wordt onder andere gekeken naar remsporen, krassporen, voertuig- en slachtofferposities wat vervolgens fotografisch wordt vastgelegd. Van de betrokken voertuigen wordt de technische staat onderzocht, overzichtsfoto's gemaakt, de schade vastgelegd en data veiliggesteld. Ook kunnen er (snelheids)metingen en reconstructies plaatsvinden.</p>

<p>FO&nbsp;- Verkeer zoals in deze pagina omschreven valt onder&nbsp;het beheer van de Politie Eenheid Amsterdam.</p>

<p>Werkgebieden:</p>

<p>Amsterdam, Amstelveen, Aalsmeer, Uithoorn, Diemen, Ouderkerk a/d Amstel, Duivendrecht, de Kwakel, Kudelstaart,&nbsp;e.o</p>","{'url': 'https://www.politie.nl/binaries/standaard/content/gallery/politie/mijn-buurt/bureaus/05-amsterdam/omslagfoto.jpg', 'alttext': 'FO verkeer (Forensische Opsporing Verkeer)'}",[]
,,f6ef957b-db79-4ef0-b024-17b86b50bd38,https://www.politie.nl/mijn-buurt/politiebureaus/05/afdeling-infrastructuur.html,2023-02-28 12:59:56,,DROS - Afdeling Infrastructuur,"{'postadres': '', 'postcode': '', 'plaats': ''}","{'postadres': 'postbus 2287', 'postcode': '1000 CG', 'plaats': 'Amsterdam'}",,0900-8844,,,https://www.facebook.com/politieinfraamsterdam,"<p>Afdeling Infrastuctuur is een gespecialiseerde afdeling binnen de Dienst Regionale en Operationele Samenwerking (DROS).&nbsp;<strong>​​​​​​</strong></p>

<p>De Afdeling Infrastructuur is belast met taken op het gebied van toezicht, handhaving en criminaliteitsbestrijding op de lokale en regionale infrastructuur, dat wil zeggen de knooppunten en de onderliggende stromen. De afdeling bestaat uit: Team Verkeer, Team Technisch Toezicht en Team Nodale Oriëntatie.&nbsp;<br />
<br />
Afdeling Infrastructuur zoals in deze pagina omschreven valt onder&nbsp;het beheer van de Politie Eenheid Amsterdam.</p>

<p>Werkgebieden:<br />
Amsterdam, Amstelveen, Aalsmeer, Uithoorn, Diemen, Ouderkerk a/d Amstel, Duivendrecht, de Kwakel, Kudelstaart,&nbsp;e.o</p>","{'url': 'https://www.politie.nl/binaries/standaard/content/gallery/politie/mijn-buurt/bureaus/05-amsterdam/omslagfoto.jpg', 'alttext': 'DROS - Afdeling Infrastructuur'}","[{'latitude': 52.3533755, 'longitude': 4.92494576}, {'latitude': 52.34969712, 'longitude': 4.91962033}, {'latitude': 52.38380166, 'longitude': 4.89123046}, {'latitude': 52.26222713, 'longitude': 4.76117639}]"
,,49310055-c279-4720-9144-e4fca906226f,https://www.politie.nl/mijn-buurt/politiebureaus/10/mergelland.html,2020-12-10 17:26:51,,Heuvelland,"{'postadres': 'Tijdelijk in het gemeentehuis, Von Clermontplein 15', 'postcode': '', 'plaats': 'Vaals'}","{'postadres': 'Postbus 1230', 'postcode': '6201BE', 'plaats': 'Maastricht'}",<p>De openingstijden voor het publiek zijn dinsdag van 09.00 – 14.00 uur en donderdag van 13.00 – 17.00 uur. Langskomen kan alleen op afspraak via telefoonnummer 0900-8844.</p>,0900-8844,,,,,"{'url': 'https://www.politie.nl/binaries/standaard/content/gallery/politie/mijn-buurt/bureaus/10-limburg/vaals_gemeentehuis2.jpg', 'alttext': None}","[{'latitude': 50.77064499999999, 'longitude': 6.0188379}]"
,,0a800ac1-2a53-4b82-8410-ea6711360b3a,https://www.politie.nl/mijn-buurt/politiebureaus/10/politieservicepunt-reuver.html,2023-04-18 07:39:46,,Politieservicepunt Reuver,"{'postadres': 'Gemeentehuis Reuver, Raadhuisplein 1', 'postcode': '', 'plaats': 'Reuver'}","{'postadres': '', 'postcode': '', 'plaats': ''}",<p>Maandag t/m donderdag van 09:00 – 16:30 uur.</p>,0900-8844,,,,,"{'url': '', 'alttext': ''}","[{'latitude': 51.28370465, 'longitude': 6.07765087}]"
,,5258e46f-5325-49b2-b7f8-8c73ff800d88,https://www.politie.nl/mijn-buurt/politiebureaus/05/centrumamstel.html,2023-05-01 10:06:35,,Basisteam Centrum Amstel,"{'postadres': 'IJ-tunnel 2', 'postcode': '1011 TA', 'plaats': 'Amsterdam'}","{'postadres': 'Postbus 2287', 'postcode': '1000 CG', 'plaats': 'Amsterdam'}","<p>Dit bureau heeft geen inloopfunctie. Op dit bureau kunt u alleen terecht als u met iemand een afspraak hebt.<br />
Heeft u geen afspraak dan kunt u terecht bij <a href=""https://www.politie.nl/mijn-buurt/politiebureaus/05/burgwallen.html""><b>Centrum Burgwallen</b></a>.</p>",0900-8844,,,https://www.facebook.com/politiecentrumamstel,"<p>Aangifte doen kan in veel gevallen online of telefonisch. Op&nbsp;<a href=""http://www.politie.nl/themas/aangifte-doen"">politie.nl/themas/aangifte-doen</a>&nbsp;is daarover meer informatie te vinden.</p>

<p>Basisteam Centrum-Amstel valt onder het beheer van&nbsp;de&nbsp;<a href=""https://www.politie.nl/mijn-buurt/politiebureaus/05/politie-amsterdam.html"">Politie Eenheid Amsterdam</a>.<br />
<br />
Indien u een melding heeft met betrekking tot jeugd, kunt&nbsp;u contact op te nemen met de&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/jeugdagenten/jeugdagenten-centrum-amstel.html?sid=a6169a0d-3b14-41b7-b864-51e88f5d4aff"">jeugdagenten van het basisteam Centrum-Amstel</a>.<br />
<br />
Indien u een melding heeft met betrekking tot Ondermijning, kunt&nbsp;u contact op te nemen met de&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/thematisch-wijkagent/thematisch-amstel.html"">Thematisch wijkagent Ondermijning van Basisteam Centrum-Amstel</a>.<br />
<br />
Heeft u een vraag met betrekking tot netwerken, dan kunt u terecht bij de&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/netwerkagent/netwerkspecialist-ceno.html"">Netwerkspecialist Centrum-Noord</a>.</p>

<p>Mocht u contact wensen met een van de&nbsp;wijkagenten&nbsp;in ons basisteam, dan klikt u&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten"">hier</a>&nbsp;of bel 0900-8844. Bel bij spoed altijd 112.</p>

<p><br />
De navolgende buurten vallen onder het beheer van ons Basisteam:</p>

<p><a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/a2-centrum-amstel/rembrandtpleinbuurt.html"">Rembrandtpleinbuurt</a>,&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/a2-centrum-amstel/weesper-amstelbuurt.html"">Weesper-Amstelbuurt</a>&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/a2-centrum-amstel/plantagebuurt.html"">Plantagebuurt</a>&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/a2-centrum-amstel/conradstraat-czaar-peterbuurt-funenpark.html"">Conradstraat, Czaar Peterbuurt &amp; Funenpark</a>&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/a2-centrum-amstel/kadijken-onk-buurt.html"">Kadijken &amp; ONKbuurt</a>&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/a2-centrum-amstel/waterloo-uilenburg.html"">Waterloo-Uilenburg</a>&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/a2-centrum-amstel/kattenburg-wittenburg.html"">Kattenburg-Wittenburg</a>&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/a2-centrum-amstel/weteringbuurt.html"">Weteringbuurt</a>&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/a2-centrum-amstel/weesper-amstelbuurt-1.html"">Weesper-Amstelbuurt</a>&nbsp;<br />
&nbsp;</p>","{'url': 'https://www.politie.nl/binaries/standaard/content/gallery/politie/mijn-buurt/bureaus/05-amsterdam/ijtunnel.jpg', 'alttext': None}","[{'latitude': 52.3701826, 'longitude': 4.9090084}]"
,,69a3d0ab-fda5-4b54-b1f1-266c4aee87d5,https://www.politie.nl/mijn-buurt/politiebureaus/05/burgwallen.html,2023-05-01 10:00:32,,Basisteam centrum Burgwallen,"{'postadres': 'Nieuwezijds Voorburgwal 35', 'postcode': '1012 RD', 'plaats': 'Amsterdam'}","{'postadres': 'Postbus 2287', 'postcode': '1000 CG', 'plaats': 'Amsterdam'}","<p>Zondag t/m donderdag 08:00 – 23:00 uur<br />
Vrijdag en zaterdag 08:00 – 02:30 uur<br />
<br />
Buiten deze tijden is het bureau alleen open in geval van calamiteit.</p>",0900-8844,,,https://nl-nl.facebook.com/politiecentrumburgwallen,"<p>Basisteam Centrum - Burgwallen valt onder het beheer van&nbsp;de&nbsp;<a href=""https://www.politie.nl/mijn-buurt/politiebureaus/05/politie-amsterdam.html"">Politie Eenheid Amsterdam</a><br />
<br />
De navolgende buurten vallen onder het beheer van ons Basisteam:<br />
<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/a1-centrum-burgwallen/wallen-noord.html"">wallen Noord</a>,&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/a1-centrum-burgwallen/wallen-zuid.html"">Wallen Zuid</a>&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/a1-centrum-burgwallen/nieuwmarkt-noord.html"">Nieuwmarkt Noord</a>&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/a1-centrum-burgwallen/nieuwmarkt-zuid.html"">Nieuwmarkt zuid</a>&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/a1-centrum-burgwallen/nieuwendijkkwartier.html"">Nieuwendijkkwartier</a>&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/a1-centrum-burgwallen/koepelkwartier.html"">Koepelwartier</a>&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/a1-centrum-burgwallen/singelbuurt.html"">Singelbuurt</a>&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/a1-centrum-burgwallen/stationseiland.html"">Stationseiland</a>&nbsp;<br />
&nbsp;</p>

<p>Mocht u contact wensen met een van de&nbsp;wijkagenten&nbsp;in ons basisteam, dan klikt u&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten"">hier</a>&nbsp;of bel 0900-8844. Bel bij spoed altijd 112.<br />
<br />
Indien u een melding heeft met betrekking tot Ondermijning, kunt&nbsp;u contact op te nemen met de&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/thematisch-wijkagent/thematisch-burgwallen.html"">Thematisch wijkagent Ondermijning van de Burgwallen</a>.<br />
<br />
Heeft u een vraag met betrekking tot netwerken, dan kunt u terecht bij de&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/netwerkagent/netwerkspecialist-ceno.html"">Netwerkspecialist Centrum-Noord</a>.<br />
<br />
Aangifte doen kan in veel gevallen online of telefonisch. Op&nbsp;<a href=""http://www.politie.nl/themas/aangifte-doen"">politie.nl/themas/aangifte-doen</a>&nbsp;&nbsp;is daarover meer informatie te vinden.</p>","{'url': 'https://www.politie.nl/binaries/standaard/content/gallery/politie/mijn-buurt/bureaus/05-amsterdam/politie-burgwallen.jpg', 'alttext': 'Basisteam centrum Burgwallen'}","[{'latitude': 52.3766776, 'longitude': 4.894619}]"
,,fed574ee-ff44-420e-9db4-f82947a20054,https://www.politie.nl/mijn-buurt/politiebureaus/05/haarlemmerweg.html,2023-01-13 11:17:40,,Basisteam West Haarlemmerweg,"{'postadres': 'Houtmankade 34', 'postcode': '1013 MX', 'plaats': 'Amsterdam'}","{'postadres': 'Postbus 2287', 'postcode': '1000 CG', 'plaats': 'Amsterdam'}",<p>08.00 tot 18.00 uur</p>,0900-8844,,,https://www.facebook.com/PolitieHaarlemmerweg,"<p>Aangifte doen kan in veel gevallen online of telefonisch. Op&nbsp;<a href=""http://www.politie.nl/themas/aangifte-doen"">politie.nl/themas/aangifte-doen</a>&nbsp;is daarover meer informatie te vinden.</p>

<p>Basisteam Haarlemmerweg valt onder het beheer van&nbsp;de&nbsp;<a href=""https://www.politie.nl/mijn-buurt/politiebureaus/05/politie-amsterdam.html"">Politie Eenheid Amsterdam</a><br />
<br />
Mocht u contact wensen met een van de&nbsp;wijkagenten&nbsp;in ons basisteam, dan klikt u&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten"">hier</a>&nbsp;of bel 0900-8844.<br />
Bel bij spoed altijd 112.<br />
<br />
Indien u een melding heeft met betrekking tot netwerken, kunt&nbsp;u contact op te nemen met de&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/netwerkagent/netwerkagent-amsterdam-west.html"">Netwerkagent van Amsterdam West</a>.</p>

<p><br />
De navolgende buurten vallen onder het beheer van ons Basisteam:</p>

<p><a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/d1-west-haarlemmerweg/erasmusbuurt.html"">Erasmusbuurt</a>;&nbsp;&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/d1-west-haarlemmerweg/landlust.html"">Landlust</a>;&nbsp;&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/d1-west-haarlemmerweg/westpoort.html"">Westpoort</a>;&nbsp;&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/d1-west-haarlemmerweg/waterwijk.html"">Waterwijk</a>;&nbsp;&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/d1-west-haarlemmerweg/spaarndammerbuurt-oost.html"">Spaarndammerbuurt Oost</a>;&nbsp;&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/d1-west-haarlemmerweg/witteneilanden.html"">Witteneilanden</a>;&nbsp;&nbsp;<br />
<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/d1-west-haarlemmerweg/fannius-scholtenbuurt.html"">Fannius Scholtenbuurt</a>;&nbsp; &nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/d1-west-haarlemmerweg/gibraltarbuurt.html"">Gibraltarbuurt</a>;&nbsp;&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/d1-west-haarlemmerweg/spaarndammerbuurt-west.html"">Spaarndammerbuurt - West</a>;&nbsp;&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/d1-west-haarlemmerweg/hugo-de-grootbuurt.html"">Hugo de Grootbuurt</a>;&nbsp;&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/d1-west-haarlemmerweg/westerstaatsman.html"">Westerstaatsman</a>;&nbsp;&nbsp;<br />
<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/d1-west-haarlemmerweg/gulden-winckelbuurt.html"">Gulden Winckelbuurt</a>;&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/d1-west-haarlemmerweg/frederik-hendrikbuurt.html"">Frederik Hendrikbuurt</a>;&nbsp;&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/d1-west-haarlemmerweg/zeeheldenbuurt-houthavens.html"">Zeeheldenbuurt - Houthavens</a>.</p>","{'url': 'https://www.politie.nl/binaries/standaard/content/gallery/politie/mijn-buurt/bureaus/05-amsterdam/houtmankade.jpg', 'alttext': None}","[{'latitude': 52.3891158, 'longitude': 4.8841986}]"
,,aabe4fdb-0ae0-426e-ab84-01047ab80c61,https://www.politie.nl/mijn-buurt/politiebureaus/05/jordaan.html,2023-07-12 10:19:36,,Basisteam Centrum Jordaan,"{'postadres': 'Lijnbaansgracht 219', 'postcode': '1017 PH', 'plaats': 'Amsterdam'}","{'postadres': 'Postbus 2287', 'postcode': '1000 CG', 'plaats': 'Amsterdam'}","<p>Dit bureau heeft geen inloopfunctie. Op dit bureau kunt u alleen terecht als u met iemand een afspraak hebt.<br />
Heeft u geen afspraak dan kunt u terecht bij <a href=""https://www.politie.nl/mijn-buurt/politiebureaus/05/burgwallen.html""><b>Centrum Burgwallen</b></a>.</p>",0900-8844,,https://www.twitter.com/POL_Jordaan,https://www.facebook.com/politieCentrumJordaan,"<p>Basisteam Jordaan heeft een ingrijpende verbouwing ondergaan om het gebouw aan te passen aan de eisen van deze tijd.</p>

<p>Aangifte doen kan in veel gevallen online of telefonisch. Op&nbsp;<a href=""http://www.politie.nl/themas/aangifte-doen"">politie.nl/themas/aangifte-doen</a>&nbsp;is daarover meer informatie te vinden.<br />
Persoonlijk aangifte doen kan bij elk bureau,&nbsp;<br />
Voor contact met de wijkagenten klikt u&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten"">hier</a> of bel 0900-8844. Bel bij spoed altijd 112.<br />
<br />
De navolgende buurten vallen onder het beheer van ons Basisteam:</p>

<p><a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/a3-centrum-jordaan/de-eilanden.html"">de Eilanden</a>,&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/a3-centrum-jordaan/jordaan-zuid.html"">Jordaan-Zuid</a>&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/a3-centrum-jordaan/leidsebuurt.html"">Leidsbuurt</a>&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/a3-centrum-jordaan/haarlemmerdijk.html"">Haarlemmerdijk</a>&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/a3-centrum-jordaan/negen-straatjes.html"">Negen Straatjes</a>&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/a3-centrum-jordaan/jordaan-midden.html"">Jordaan-Midden</a>&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/a3-centrum-jordaan/haarlemmerstraatbuurt.html"">Haarlemmerstraatbuurt</a>&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/a3-centrum-jordaan/jordaan-noord.html"">Jordaan-Noord</a>&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/a3-centrum-jordaan/grachtengordel-zuid.html"">Grachtengordel-Zuid</a>&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/a3-centrum-jordaan/grachtengordel-west.html"">Grachtengordel-West</a>&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/a3-centrum-jordaan/westerdok.html"">Westerdok</a><br />
<br />
Ons basisteam valt onder het beheer van&nbsp;<a href=""https://www.politie.nl/mijn-buurt/politiebureaus/05/politie-amsterdam.html"">Politie Eenheid Amsterdam</a>.<br />
<br />
Indien u een melding heeft met betrekking tot jeugd, kunt&nbsp;u contact op te nemen met de&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/jeugdagenten/jeugdagenten-centrum-jordaan.html"">jeugdagenten Basisteam Jordaan</a>.<br />
<br />
Heeft u een vraag met betrekking tot netwerken, dan kunt u terecht bij de&nbsp;<a href=""https://www.politie.nl/mijn-buurt/wijkagenten/05/netwerkagent/netwerkspecialist-ceno.html"">Netwerkspecialist Centrum-Noord</a>.</p>

<p>&nbsp;</p>

<p>&nbsp;</p>","{'url': 'https://www.politie.nl/binaries/standaard/content/gallery/politie/mijn-buurt/bureaus/05-amsterdam/lijnbaangracht.jpg', 'alttext': None}","[{'latitude': 52.3651814, 'longitude': 4.8812375}]"
